lon_25_75,lat_25_75,ID_HDC_G0,GCPNT_LAT,GCPNT_LON,XC_NM_LST,XC_ISO_LST,GRGN_L1,GRGN_L2,UC_NM_MN,UC_NM_LST,P15,urban_center_count
109.75,28.75,11108,28.71106781,109.6498748,China,CHN,Asia,Eastern Asia,Baojing,Baojing,54797.69263,2
110.75,21.75,11891,21.66741199,110.8982114,China,CHN,Asia,Eastern Asia,Maoming,Maoming; 茂南区,630968.61,5
110.75,21.75,11873,21.91383299,110.8531868,China,CHN,Asia,Eastern Asia,Gaozhou,Gaozhou,245670.378,5
110.75,21.75,11860,21.66227276,110.6371229,China,CHN,Asia,Eastern Asia,Huazhou,Huazhou,149679.8935,5
110.75,21.75,11877,21.54137597,110.7097719,China,CHN,Asia,Eastern Asia,Changqi,Changqi; Qianshui,108208.1606,5
110.75,21.75,11922,21.62895116,110.9799564,China,CHN,Asia,Eastern Asia,Poxin,Poxin,51192.89563,5
111.75,21.75,12029,21.8591088,111.9706871,China,CHN,Asia,Eastern Asia,Yangjiang,Yangjiang; 江城区; 阳东区,445967.6679,2
111.75,21.75,11994,21.75848191,111.6234997,China,CHN,Asia,Eastern Asia,Yangxi,Yangxi,106092.1209,2
111.75,39.25,10336,39.43590418,111.4999154,China,CHN,Asia,Eastern Asia,Pianguan,Pianguan,53472.60059,1
112.25,22.75,11975,22.94389406,112.0582787,China,CHN,Asia,Eastern Asia,Yunfu,Yunfu,218851.4839,2
112.25,22.75,12008,22.68861782,112.2242017,China,CHN,Asia,Eastern Asia,Xinxing,Xinxing,142365.6439,2
112.25,34.75,10860,34.66925728,112.4321052,China,CHN,Asia,Eastern Asia,Luoyang,Luoyang; Jianxi; Xigong; Chanhe; Luolong; Laocheng,1804860.197,4
112.25,34.75,10856,34.52905547,112.1929635,China,CHN,Asia,Eastern Asia,Yiyang,Yiyang,105748.4439,4
112.25,34.75,10834,34.72610263,112.1436942,China,CHN,Asia,Eastern Asia,Xin'an,Xin'an,84272.21448,4
112.25,34.75,10866,34.81826174,112.4368174,China,CHN,Asia,Eastern Asia,Mengjin,Mengjin,65217.42215,4
112.75,25.75,11854,25.74624629,112.7288833,China,CHN,Asia,Eastern Asia,Guiyang,Guiyang,130630.7177,1
113.25,23.75,12041,23.71279058,113.03223909999998,China,CHN,Asia,Eastern Asia,Qingyuan,Qingyuan; 清城区; 清新区,587780.0654,1
113.25,34.25,11072,34.17730849,113.4893898,China,CHN,Asia,Eastern Asia,Yuzhou,Yuzhou,312660.3595,4
113.25,34.25,10976,34.46435782,113.0163731,China,CHN,Asia,Eastern Asia,Dengfeng,Dengfeng,121844.8107,4
