lon,lat,k1_thresh,k1_num_excedences,k2_thresh,k2_num_excedences,k3_thresh,k3_num_excedences,k4_thresh,k4_num_excedences,k5_thresh,k5_num_excedences,k6_thresh,k6_num_excedences
-1.75,7.75,307.288269,185,306.6669310000001,450,304.692719,3433,305.579559,1717,306.875031,343,305.914734,1226
-1.75,43.25,304.594727,185,302.705261,450,296.6636660000001,3433,299.166321,1717,303.319244,343,300.136627,1226
-1.25,7.25,307.498871,185,306.869965,450,304.933746,3433,305.790192,1717,307.03476,343,306.100922,1226
-1.25,51.75,299.424866,185,297.211365,450,292.136597,3433,293.935638,1717,297.968414,343,294.819794,1226
-1.25,53.75,296.105774,185,294.41864,450,290.540344,3433,292.0292970000001,1717,294.960144,343,292.670288,1226
1.25,7.75,307.620422,185,306.9526370000001,450,305.003662,3433,305.851105,1717,307.15451,343,306.175537,1226
1.25,9.75,309.272583,185,308.631348,450,305.9689029999999,3433,307.169983,1717,308.836151,343,307.627594,1226
1.75,12.75,313.534363,185,312.71283,450,309.780334,3433,311.0934450000001,1717,312.986725,343,311.579681,1226
1.75,52.25,298.244568,185,296.42041,450,291.96405,3433,293.648499,1717,297.0461430000001,343,294.338867,1226
4.25,32.75,316.646912,185,315.096771,450,309.973938,3433,312.113525,1717,315.655304,343,312.937317,1226
4.25,35.25,311.280792,185,309.79776,450,304.462494,3433,306.85437,1717,310.279175,343,307.760071,1226
4.25,51.75,298.831207,185,297.190857,450,292.389709,3433,294.225952,1717,297.710602,343,295.013763,1226
4.75,8.75,309.134674,185,308.550171,450,306.000244,3433,307.108093,1717,308.7341,343,307.5537720000001,1226
5.25,34.25,315.07193,185,313.673279,450,309.006104,3433,311.020966,1717,314.117096,343,311.818329,1226
5.75,6.25,307.1957700000001,185,306.594482,450,304.759033,3433,305.550659,1717,306.770386,343,305.873779,1226
5.75,8.75,309.928436,185,309.152069,450,306.378204,3433,307.596405,1717,309.407684,343,308.063232,1226
6.25,35.75,308.163635,185,306.757813,450,301.470703,3433,303.7436830000001,1717,307.299713,343,304.683411,1226
6.75,8.25,309.051178,185,308.385773,450,305.861176,3433,306.975616,1717,308.6391910000001,343,307.401123,1226
6.75,9.75,309.836426,185,309.025055,450,305.9395140000001,3433,307.259064,1717,309.259155,343,307.771973,1226
6.75,11.75,310.631683,185,309.632568,450,305.7514950000001,3433,307.308777,1717,309.936096,343,307.976776,1226
6.75,12.25,311.214142,185,310.3393549999999,450,307.093719,3433,308.485626,1717,310.629181,343,309.075348,1226
6.75,13.75,313.316589,185,312.511505,450,309.111755,3433,310.541534,1717,312.764008,343,311.1158450000001,1226
7.25,9.25,308.901367,185,308.126526,450,305.149689,3433,306.427002,1717,308.372437,343,306.913025,1226
7.25,35.75,308.090637,185,306.696869,450,301.449921,3433,303.680847,1717,307.233276,343,304.627411,1226
7.25,48.25,301.53833,185,299.613831,450,294.0336,3433,296.34613,1717,300.286591,343,297.2735600000001,1226
7.75,5.25,306.588196,185,306.016937,450,303.8765870000001,3433,304.7132870000001,1717,306.207794,343,305.089417,1226
7.75,48.75,301.855042,185,300.324829,450,295.3994140000001,3433,297.610809,1717,300.737854,343,298.483032,1226
8.75,13.75,313.804565,185,312.87439,450,309.232605,3433,310.826477,1717,313.18573,343,311.431213,1226
8.75,35.25,310.665375,185,308.828552,450,302.905701,3433,305.177277,1717,309.3452450000001,343,306.204376,1226
9.25,48.25,300.27951,185,298.504547,450,293.4063720000001,3433,295.628723,1717,299.076416,343,296.4560850000001,1226
10.25,7.25,308.021423,185,307.085663,450,304.064148,3433,305.14587400000005,1717,307.417023,343,305.704865,1226
10.25,35.75,310.35025,185,308.785492,450,304.516846,3433,306.182831,1717,309.244995,343,306.8890990000001,1226
10.25,43.75,305.024689,185,303.792145,450,298.653839,3433,300.859833,1717,304.190704,343,301.77600099999995,1226
10.25,44.75,305.082489,185,303.511322,450,297.8600160000001,3433,299.933899,1717,304.146637,343,300.86673,1226
10.25,47.75,300.133911,185,298.2636720000001,450,293.0101620000001,3433,295.111847,1717,298.828461,343,295.90741,1226
10.75,45.25,307.091431,185,305.45163,450,299.3984680000001,3433,301.63858,1717,306.003754,343,302.702271,1226
11.75,2.75,301.905975,185,301.606293,450,300.48526,3433,300.959961,1717,301.6874390000001,343,301.149292,1226
11.75,11.75,314.713013,185,312.416901,450,308.002136,3433,309.706879,1717,312.973633,343,310.457397,1226
12.25,9.75,312.958344,185,311.237305,450,306.9317020000001,3433,308.515717,1717,311.736603,343,309.192871,1226
12.25,11.25,311.886932,185,310.940552,450,307.2498470000001,3433,308.737701,1717,311.224701,343,309.409027,1226
12.75,2.75,302.892181,185,302.361908,450,301.189819,3433,301.675934,1717,302.510498,343,301.865234,1226
13.25,-1.75,303.637421,185,302.894775,450,301.484039,3433,301.971161,1717,303.1073,343,302.203308,1226
13.75,11.75,313.968781,185,312.99234,450,309.487854,3433,310.916809,1717,313.33902,343,311.513885,1226
